name,age,gender,grade,shirt_size,pant_size,shoe_size,jacket_size,interests,greatest_need,wish_list,special_needs,family_situation
001A,2,F,Pre-K,Toddler 3T,Toddler 3T,Toddler 7,,Cocmelon Toys Baby Shark Toys Minion Toys Loves Dogs Toy Lap Top Toy Shopping Cart Baby Bath Supplies.,"Diapers (Pampers) Size 5, Baby Wipes",Wish List: Cocmelon Toys Baby Shark Toys Minion Toys Loves Dogs Toy Lap Top Toy Shopping Cart Baby Bath Supplies.,,
002A,16,M,9-12,aMens Small,Mens Small,Mens 9,,Wolverine Figures Deadpool Toys Gaming Headphones Video Game Cards/Nintendo Switch Computer Mouse Mens Body Wash Sets Medieval Times Books.,"Socks, Coat (XL)",Wolverine Figures Deadpool Toys Gaming Headphones Video Game Cards/Nintendo Switch Computer Mouse Mens Body Wash Sets Medieval Times Books.,,
003A,8,F,K-5,Girls 8,Girls 8,Youth 3,,Soccer Net/Ball Bike Kid Gardening Tools Hair Accessories Lego Sets Kids Bath Sets Horse Books.,"Pants, Shirts, Underwear, Socks",Soccer Net/Ball Bike Kid Gardening Tools Hair Accessories Lego Sets Kids Bath Sets Horse Books.,,
003B,7,F,K-5,Girls 7,Girls 7,Youth 1,,Bike Stationary Kits Wood Craft Sets Lego Sets Hair Accessories Jewelry Sets Horse Books.,"Socks, Underwear",Bike Stationary Kits Wood Craft Sets Lego Sets Hair Accessories Jewelry Sets Horse Books.,,
004A,14,F,9-12,Ladies XL,Ladies 16,Ladies 11,,Bell Bottom Jeans Squared Toe Boots Make Up - Ivory Foundation Lainey Wilson Shirt Mystery Game Nintendo Switch Racing Games Books.,"Socks, Underwear, Shoes, Coat",Bell Bottom Jeans Squared Toe Boots Make Up - Ivory Foundation Lainey Wilson Shirt Mystery Game Nintendo Switch Racing Games Books.,,
004B,6,M,K-5,Boys 6/7,Boys 6 Slim,Youth 13,,Interactive Robot Crocodile Dentist Board Game Deadpool Mask Hey Dude Shoes Football Minecraft Toys Nintendo Switch Games.,"Socks, Underwear",Interactive Robot Crocodile Dentist Board Game Deadpool Mask Hey Dude Shoes Football Minecraft Toys Nintendo Switch Games.,,
005A,13,F,6-8,Girls 14,Girls 12,Youth 4,,Arts and Craft Sets Fidget Toys Hair Accessories Make Up/Brushes Squishmellows Bath and Body Sets Books - Fantasy.,"Pants, Socks, Underwear",Arts and Craft Sets Fidget Toys Hair Accessories Make Up/Brushes Squishmellows Bath and Body Sets Books - Fantasy.,,
005B,12,M,6-8,Boys 14,Boys 12,Youth 3,,Lego Sets Pokemon Toys/Cards Teenage Mutant Ninja Turtle Toys Nerf Guns Dinosaurs Basketball Books - Action.,"Sweaters, Socks, Underwear",Lego Sets Pokemon Toys/Cards Teenage Mutant Ninja Turtle Toys Nerf Guns Dinosaurs Basketball Books - Action.,,
005C,12,M,6-8,Boys 10,Boys 10,Youth 2,,Lego Sets Pokemon Toys/Cards Hot Wheel Sets Nerf Guns Super Hero Figures/Toys Soccer Ball Fidget Toys.,"Shirts, Socks, Underwear",Lego Sets Pokemon Toys/Cards Hot Wheel Sets Nerf Guns Super Hero Figures/Toys Soccer Ball Fidget Toys.,,
005D,11,F,K-5,Girls 10,Girls 10,Youth 2,,Princess Dolls/Toys Baby Dolls/Accessories Care Bears Hair Accessories Fuzzy Blanket Bath Sets Baby Doll Stroller.,"Shirts, Socks, Underwear",Princess Dolls/Toys Baby Dolls/Accessories Care Bears Hair Accessories Fuzzy Blanket Bath Sets Baby Doll Stroller.,,
